Word Id,Word,Pinyin,Pinyin Simplified,Type,Word Category,Word Rarity,Meaning,Sentence,Sentence Pinyin,Sentence Meaning,Added Date,Num_Quiz_Attempt,Num_Correct,Num_Wrong,Last_Quiz
D001020,不偏不倚,bù piān bù yǐ,bu4 pian1 bu4 yi3,Adjective,Idiom,Rare,Neutral or unbiased; describes an attitude of fairness and impartiality.,他总是以不偏不倚的态度处理问题。,Tā zǒng shì yǐ bù piān bù yǐ de tàidù chǔlǐ wèntí.,He always handles issues with a neutral and unbiased attitude.,2024-10-25,0,0,0,
D001021,出口,chū kǒu,chu1 kou3,Noun,Direction,Common,Exit,请注意出口的方向。,Qǐng zhùyì chūkǒu de fāngxiàng.,Please pay attention to the direction of the exit.,2024-10-25,1,1,0,2025-01-29
D001022,出口,chū kǒu,chu1 kou3,Verb,Business,Common,To export,我们的公司主要出口电子产品。,Wǒmen de gōngsī zhǔyào chūkǒu diànzǐ chǎnpǐn.,Our company mainly exports electronic products.,2024-10-25,0,0,0,
D001023,辞,cí,ci2,Verb,Action,Common,To resign,他决定辞去他的职位。,Tā juédìng cíqù tā de zhíwèi.,He decided to resign from his position.,2024-10-25,1,0,1,2024-12-24
D001024,辞,cí,ci2,Noun,Grammar,Common,Word,这个辞在古文中很常见。,Zhège cí zài gǔwén zhōng hěn chángjiàn.,This word is very common in classical Chinese.,2024-10-25,0,0,0,
D001025,奔,bēn,ben1,Verb,Action,Common,To rush,他匆忙奔向车站。,Tā cōngmáng bēn xiàng chēzhàn.,He rushed to the station.,2024-10-25,1,0,1,2025-01-12
D001027,醒,xǐng,xing3,Verb,Action,Common,To wake up,我每天七点醒来。,Wǒ měitiān qī diǎn xǐng lái.,I wake up at seven every day.,2024-10-25,2,0,2,2025-01-12
D001072,空白,kòng bái,kong4 bai2,Noun,Description,Common,Blank or empty space; a void or gap where something is missing.,这个表格上还有很多空白需要填写。,Zhège biǎogé shàng hái yǒu hěn duō kòngbái xūyào tiánxiě.,There are still many blanks on this form that need to be filled in.,2024-10-26,1,0,1,2024-12-22
D001101,匆忙,cōng máng,cong1 mang2,Adjective,Time,Common,Hurried or rushed,他匆忙地赶去上班。,Tā cōngmáng de gǎn qù shàngbān.,He hurriedly rushed to work.,2024-10-26,0,0,0,
D001104,兜,dōu,dou1,Noun,Object,Common,Pocket,他把钥匙放在了兜里。,Tā bǎ yàoshi fàng zài le dōu lǐ.,He put the keys in his pocket.,2024-10-26,1,0,1,2024-11-13
D001105,兜,dōu,dou1,Verb,Action,Common,To go around or circle; to detour,我们兜了一圈才找到那家餐馆。,Wǒmen dōu le yī quān cái zhǎodào nà jiā cānguǎn.,We circled around before finding the restaurant.,2024-10-26,0,0,0,
D001108,不及,bù jí,bu4 ji2,Verb,Degree,Rare,To be inferior to; not as good as,他的成绩不及她。,Tā de chéngjì bùjí tā.,His grades are not as good as hers.,2024-10-26,0,0,0,
D001109,医院,yī yuàn,yi1 yuan4,Noun,Health,Common,Hospital,她生病了，必须去医院。,"Tā shēngbìng le, bìxū qù yīyuàn.",She is sick and must go to the hospital.,2024-10-26,0,0,0,
D001110,经济,jīng jì,jing1 ji4,Noun,Economics,Common,"Economy; the system of production, consumption, and distribution of goods and services in a particular region or country.",中国的经济正在快速发展。,Zhōngguó de jīngjì zhèngzài kuàisù fāzhǎn.,China's economy is developing rapidly.,2024-10-26,0,0,0,
D001111,经济,jīng jì,jing1 ji4,Adjective,Economics,Common,Economical; characterized by thriftiness or frugality.,这款车很经济，省油。,"Zhè kuǎn chē hěn jīngjì, shěng yóu.",This car is economical; it saves fuel.,2024-10-26,0,0,0,
D001113,假,jiǎ,jia3,Adjective,Description,Common,False or fake,这些是假花，不是真花。,"Zhèxiē shì jiǎ huā, bù shì zhēn huā.","These are fake flowers, not real ones.",2024-10-27,0,0,0,
D001114,假,jià,jia4,Noun,Holidays,Common,Vacation or holiday,我们计划暑假去旅行。,Wǒmen jìhuà shǔjià qù lǚxíng.,We plan to travel during the summer vacation.,2024-10-27,1,0,1,2024-11-13
D001115,尤其,yóu qí,you2 qi2,Adverb,Degree,Common,Especially,他喜欢运动，尤其是篮球。,"Tā xǐhuān yùndòng, yóuqí shì lánqiú.","He likes sports, especially basketball.",2024-10-27,0,0,0,
D001138,点燃,diǎn rán,dian3 ran2,Verb,Action,Common,To ignite; to set fire to something.,他用火柴点燃了篝火。,Tā yòng huǒchái diǎn ránle gōuhuǒ.,He used a match to ignite the campfire.,2024-11-05,0,0,0,
D001141,路口,lù kǒu,lu4 kou3,Noun,Direction,Common,Intersection; where two or more roads meet.,在下一个路口左转。,Zài xià yī gè lùkǒu zuǒ zhuǎn.,Turn left at the next intersection.,2024-11-05,1,1,0,2024-12-22
D001146,不管,bù guǎn,bu4 guan3,Conjunction,General,Common,No matter; regardless of.,不管发生什么，我都会支持你。,"Bùguǎn fāshēng shénme, wǒ dōu huì zhīchí nǐ.","No matter what happens, I will support you.",2024-11-05,0,0,0,
D001156,舒服,shū fu,shu1 fu,Adjective,Health,Common,Comfortable; feeling relaxed and at ease,这张沙发坐起来很舒服。,Zhè zhāng shāfā zuò qǐlái hěn shūfu.,This sofa is very comfortable to sit on.,2024-11-06,0,0,0,
D001158,融化,róng huà,rong2 hua4,Verb,Weather,Common,To melt; to change from solid to liquid due to heat,雪开始在阳光下融化。,Xuě kāishǐ zài yángguāng xià rónghuà.,The snow is starting to melt under the sunlight.,2024-11-06,1,1,0,2024-12-29
D001159,怀,huái,huai2,Noun,Emotion,Rare,Bosom; often used metaphorically to refer to one's heart or innermost feelings,她将孩子抱在怀里。,Tā jiāng háizi bào zài huái lǐ.,She held the child in her bosom.,2024-11-06,1,0,1,2024-12-26
D001160,火种,huǒ zhǒng,huo3 zhong3,Noun,Necessity,Rare,Fire starter; material used to ignite a fire,露营时别忘了带火种。,Lùyíng shí bié wàngle dài huǒzhǒng.,Don't forget to bring fire starters when camping.,2024-11-06,0,0,0,
D001161,光荣,guāng róng,guang1 rong2,Adjective,Emotion,Common,"Honor or glory, often associated with pride and respect",他因在比赛中获胜而感到光荣。,Tā yīn zài bǐsài zhōng huòshèng ér gǎndào guāngróng.,He felt honored for winning the competition.,2024-11-06,2,0,2,2025-01-04
D001162,光荣,guāng róng,guang1 rong2,Noun,Emotion,Common,The state of being honored or respected,她的成就为家族带来了光荣。,Tā de chéngjiù wèi jiāzú dàilái le guāngróng.,Her achievements brought honor to the family.,2024-11-06,0,0,0,
D001163,孤单,gū dān,gu1 dan1,Adjective,Emotion,Common,"Feeling of loneliness or solitude, often associated with being alone.",他常常感到孤单，因为他的朋友都搬走了。,"Tā chángcháng gǎndào gūdān, yīnwèi tā de péngyǒu dōu bānzǒu le.",He often feels lonely because all his friends have moved away.,2024-11-06,1,1,0,2025-01-11
D001165,复杂,fù zá,fu4 za2,Adjective,Description,Common,Complex; having many intricate parts or details,这个问题太复杂了，我需要更多时间来解决。,"Zhège wèntí tài fùzále, wǒ xūyào gèng duō shíjiān lái jiějué.","This problem is too complex, I need more time to solve it.",2024-11-06,2,1,1,2025-06-21
D001166,资源,zī yuán,zi1 yuan2,Noun,General,Common,Resources; materials or assets that can be used to achieve a goal,我们需要合理利用资源来保护环境。,Wǒmen xūyào hélǐ lìyòng zīyuán lái bǎohù huánjìng.,We need to use resources wisely to protect the environment.,2024-11-06,1,0,1,2025-01-29
D001169,各自,gè zì,ge4 zi4,Pronoun,General,Common,Each; individually; respectively,他们各自有不同的看法。,Tāmen gèzì yǒu bùtóng de kànfǎ.,They each have different opinions.,2024-11-06,0,0,0,
D001170,咳嗽,ké sòu,ke2 sou4,Verb,Health,Common,To cough,他最近咳嗽得很厉害。,Tā zuìjìn késòu dé hěn lìhài.,He has been coughing severely lately.,2024-11-06,1,0,1,2025-01-04
D001173,不行,bù xíng,bu4 xing2,Adjective,General,Common,Not okay; unacceptable or not possible,这件事不行。,Zhè jiàn shì bù xíng.,This matter is not okay.,2024-11-06,0,0,0,
D001174,不行,bù xíng,bu4 xing2,Adjective,General,Common,Not capable or not competent,他在这方面不行。,Tā zài zhè fāngmiàn bù xíng.,He is not capable in this area.,2024-11-06,0,0,0,
D001179,豆腐,dòu fu,dou4 fu3,Noun,Food,Common,Tofu,我喜欢吃豆腐，因为它很健康。,"Wǒ xǐhuān chī dòufu, yīnwèi tā hěn jiànkāng.",I like eating tofu because it is very healthy.,2024-11-06,0,0,0,
D001182,保持,bǎo chí,bao3 chi2,Verb,General,Common,To maintain or keep something in a certain state or condition.,请保持安静。,Qǐng bǎochí ānjìng.,Please keep quiet.,2024-11-06,1,0,1,2025-01-26
D001183,豆沙,dòu shā,dou4 sha1,Noun,Food,Common,"Sweet red bean paste, often used as a filling in pastries.",我喜欢吃豆沙包。,Wǒ xǐhuān chī dòushā bāo.,I like eating red bean paste buns.,2024-11-06,1,1,0,2024-12-22
D001184,嫩,nèn,nen4,Adjective,Description,Rare,"Tender, soft, or delicate in texture or appearance",这块肉很嫩。,Zhè kuài ròu hěn nèn.,This piece of meat is very tender.,2024-11-06,0,0,0,
D001185,嫩,nèn,nen4,Adjective,Description,Rare,"Inexperienced or naive, often used to describe someone's lack of maturity or experience",他在这方面还很嫩。,Tā zài zhè fāngmiàn hái hěn nèn.,He is still very inexperienced in this area.,2024-11-06,1,0,1,2025-01-11
D001186,口感,kǒu gǎn,kou3 gan3,Noun,Food,Common,Taste and texture of food,这道菜的口感很特别。,Zhè dào cài de kǒugǎn hěn tèbié.,The taste and texture of this dish are very special.,2024-11-06,1,0,1,2024-11-13
D001187,懂,dǒng,dong3,Verb,General,Common,To understand,你听得懂我在说什么吗？,Nǐ tīng de dǒng wǒ zài shuō shénme ma?,Do you understand what I'm saying?,2024-11-06,0,0,0,
D001190,方面,fāngmiàn,fang1mian4,Noun,General,Common,Aspect or respect; a particular part or feature of a situation or problem,他在许多方面都很优秀。,Tā zài xǔduō fāngmiàn dōu hěn yōuxiù.,He is excellent in many aspects.,2024-11-06,2,0,2,2025-06-21
D001191,方面,fāngmiàn,fang1mian4,Noun,Direction,Common,Direction or side; a specific side or sector in a context,我们应该从不同的方面考虑这个问题。,Wǒmen yīnggāi cóng bùtóng de fāngmiàn kǎolǜ zhège wèntí.,We should consider this issue from different directions.,2024-11-06,0,0,0,
D001192,牛,niú,niu2,Noun,Animal,Common,Cow,我家养了几头牛。,Wǒ jiā yǎngle jǐ tóu niú.,My family raises a few cows.,2024-11-06,0,0,0,
D001193,猪,zhū,zhu1,Noun,Animal,Common,Pig,他们在农场养了很多猪。,Tāmen zài nóngchǎng yǎngle hěn duō zhū.,They raise many pigs on the farm.,2024-11-06,1,1,0,2024-11-13
D001194,鸡,jī,ji1,Noun,Animal,Common,Chicken,奶奶每天早上喂鸡。,Nǎinai měitiān zǎoshang wèi jī.,Grandma feeds the chickens every morning.,2024-11-06,0,0,0,
D001195,羊,yáng,yang2,Noun,Animal,Common,Sheep,山上的羊群很壮观。,Shān shàng de yáng qún hěn zhuàngguān.,The flock of sheep on the hill is spectacular.,2024-11-06,0,0,0,
D001201,健康,jiàn kāng,jian4 kang1,Noun,Health,Common,Health; the state of being free from illness or injury.,健康是生活中最重要的财富之一。,Jiànkāng shì shēnghuó zhōng zuì zhòngyào de cáifù zhī yī.,Health is one of the most important treasures in life.,2024-11-06,2,1,1,2025-01-29
D001202,健康,jiàn kāng,jian4 kang1,Adjective,Health,Common,Healthy; in good physical or mental condition.,他看起来非常健康，充满活力。,"Tā kàn qǐlái fēicháng jiànkāng, chōngmǎn huólì.",He looks very healthy and full of energy.,2024-11-06,0,0,0,
D001203,特别,tè bié,te4 bie2,Adjective,Description,Common,Special; unique or out of the ordinary,他是个特别的人。,Tā shì gè tèbié de rén.,He is a special person.,2024-11-06,1,1,0,2024-12-22
D001204,特别,tè bié,te4 bie2,Adverb,Degree,Common,Especially; used to emphasize the degree of something,他特别喜欢吃冰淇淋。,Tā tèbié xǐhuān chī bīngqílín.,He especially likes eating ice cream.,2024-11-06,1,1,0,2024-11-13
D001207,财富,cái fù,cai2 fu4,Noun,Economics,Common,"Wealth or riches, often referring to both material and intangible assets.",他通过努力工作积累了不少财富。,Tā tōngguò nǔlì gōngzuò jīlěile bù shǎo cáifù.,He accumulated considerable wealth through hard work.,2024-11-06,2,0,2,2024-12-15
D001208,同,tóng,tong2,Adjective,Description,Common,Same; identical or similar in nature,我们有同样的兴趣爱好。,Wǒmen yǒu tóngyàng de xìngqù àihào.,We have the same interests and hobbies.,2024-11-06,0,0,0,
D001210,同意,tóng yì,tong2 yi4,Verb,Opinion,Common,To agree or consent to a proposal or statement,我同意你的看法。,Wǒ tóngyì nǐ de kànfǎ.,I agree with your opinion.,2024-11-06,0,0,0,
D001211,买,mǎi,mai3,Verb,Business,Common,To buy,我想买一件新衣服。,Wǒ xiǎng mǎi yī jiàn xīn yīfu.,I want to buy a new piece of clothing.,2024-11-06,1,1,0,2024-11-13
D001212,卖,mài,mai4,Verb,Business,Common,To sell,他决定把车卖掉。,Tā juédìng bǎ chē màidiào.,He decided to sell the car.,2024-11-06,0,0,0,
D001213,再说,zài shuō,zai4 shuo1,Verb,Grammar,Common,To say again; used to introduce additional information or a reason in a conversation.,我们先吃饭，再说其他事情。,"Wǒmen xiān chīfàn, zàishuō qítā shìqíng.","Let's eat first, and then talk about other things.",2024-11-06,0,0,0,
D001214,常常,chángcháng,chang2 chang2,Adverb,Frequency,Common,Often; frequently.,他常常去公园散步。,Tā chángcháng qù gōngyuán sànbù.,He often goes for a walk in the park.,2024-11-06,2,2,0,2024-12-22
D001215,经常,jīng cháng,jing1 chang2,Adverb,Frequency,Common,Often; frequently,我经常去那家咖啡店。,Wǒ jīngcháng qù nà jiā kāfēi diàn.,I often go to that coffee shop.,2024-11-06,0,0,0,
D001216,做饭,zuò fàn,zuo4 fan4,Verb,Food,Common,To cook,我喜欢周末在家做饭。,Wǒ xǐhuān zhōumò zài jiā zuòfàn.,I like cooking at home on weekends.,2024-11-06,1,1,0,2025-01-04
D001217,散步,sàn bù,san4 bu4,Verb,Daily Life,Common,To take a walk or stroll,我每天晚饭后都会去公园散步。,Wǒ měitiān wǎnfàn hòu dūhuì qù gōngyuán sànbù.,I go for a walk in the park every day after dinner.,2024-11-06,0,0,0,
D001221,怪,guài,guai4,Adjective,Description,Common,Strange; unusual or odd.,他的行为很怪。,Tā de xíngwéi hěn guài.,His behavior is very strange.,2024-11-06,0,0,0,
D001222,怪,guài,guai4,Verb,Emotion,Common,To blame or hold responsible.,别怪我没提醒你。,Bié guài wǒ méi tíxǐng nǐ.,Don't blame me for not reminding you.,2024-11-06,1,1,0,2024-12-22
D001223,奇怪,qíguài,qi2guai4,Adjective,Description,Common,"Strange; unusual or odd, typically in a way that is surprising or difficult to understand.",他的行为有点奇怪。,Tā de xíngwéi yǒudiǎn qíguài.,His behavior is a bit strange.,2024-11-06,0,0,0,
D001224,怪不得,guàibùdé,guai4bu5de2,Adverb,General,Common,No wonder; used to express understanding of why something happened after receiving new information.,怪不得他今天没来，原来他生病了。,"Guàibùdé tā jīntiān méi lái, yuánlái tā shēngbìng le.",No wonder he didn't come today; it turns out he is sick.,2024-11-06,1,0,1,2024-12-29
D001225,别,bié,bie2,Adjective,General,Common,"Other, not the same",这个苹果和别的苹果不同。,Zhège píngguǒ hé bié de píngguǒ bùtóng.,This apple is different from other apples.,2024-11-06,0,0,0,
D001226,别,bié,bie2,Verb,Action,Common,To refrain from or to stop doing something,别忘了锁门。,Bié wàng le suǒ mén.,Don't forget to lock the door.,2024-11-06,2,1,1,2025-06-21
D001227,别,bié,bie2,Auxiliary Verb,Grammar,Common,Don't (used to give a negative command or suggestion),别担心，一切都会好的。,"Bié dānxīn, yīqiè dōu huì hǎo de.","Don't worry, everything will be fine.",2024-11-06,0,0,0,
D001232,事情,shìqing,shi4qing2,Noun,General,Common,Matter; affair; something that happens or needs doing.,这件事情让我很烦恼。,Zhè jiàn shìqing ràng wǒ hěn fánnǎo.,This matter is troubling me a lot.,2024-11-06,0,0,0,
D001233,家具,jiāju,jia1ju4,Noun,Object,Common,Furniture,我们需要买一些新家具。,Wǒmen xūyào mǎi yīxiē xīn jiāju.,We need to buy some new furniture.,2024-11-06,0,0,0,
D001234,当然,dāngrán,dang1 ran2,Adverb,Support,Common,Of course; naturally.,这次的会议我当然会参加。,Zhè cì de huìyì wǒ dāngrán huì cānjiā.,"Of course, I will attend this meeting.",2024-11-06,2,2,0,2025-01-04
D001235,块,kuài,kuai4,Noun,Measure Word,Common,Piece; a general term for a piece or lump of something.,他给了我一块蛋糕。,Tā gěi le wǒ yí kuài dàngāo.,He gave me a piece of cake.,2024-11-06,0,0,0,
D001236,块,kuài,kuai4,Noun,Economics,Common,Yuan; a unit of currency in China.,这本书要五块钱。,Zhè běn shū yào wǔ kuài qián.,This book costs five yuan.,2024-11-06,1,1,0,2024-12-22
D001237,一定,yī dìng,yi1 ding4,Adverb,Support,Common,Certainly; for sure,我一定会完成这项任务。,Wǒ yīdìng huì wánchéng zhè xiàng rènwù.,I will definitely complete this task.,2024-11-06,2,0,2,2024-12-29
D001238,换,huàn,huan4,Verb,Action,Common,To exchange or replace something with another.,我想把这件衣服换成另一种颜色。,Wǒ xiǎng bǎ zhè jiàn yīfú huàn chéng lìng yī zhǒng yánsè.,I want to exchange this piece of clothing for another color.,2024-11-06,0,0,0,
D001239,换,huàn,huan4,Verb,Action,Common,"To change, such as changing clothes or plans.",我需要换一下我的计划。,Wǒ xūyào huàn yīxià wǒ de jìhuà.,I need to change my plans.,2024-11-06,1,1,0,2024-12-26
D001240,东西,dōngxi,dong1xi,Noun,Object,Common,Thing; an object or item,我需要买一些东西。,Wǒ xūyào mǎi yīxiē dōngxi.,I need to buy some things.,2024-11-06,1,0,1,2025-01-04
D001242,许多,xǔ duō,xu3 duo1,Adjective,Degree,Common,Many; a large number of,许多人都喜欢这本书。,Xǔ duō rén dōu xǐhuān zhè běn shū.,Many people like this book.,2024-11-06,2,2,0,2024-12-22
D001245,之一,zhī yī,zhi1 yi1,Adjective,Grammar,Common,One of,他是我最好的朋友之一。,Tā shì wǒ zuì hǎo de péngyǒu zhī yī.,He is one of my best friends.,2024-11-06,1,1,0,2024-12-22
D001246,活力,huó lì,huo2 li4,Noun,Health,Common,"Vitality; the state of being strong and active, full of life and energy.",他的演讲充满了活力。,Tā de yǎnjiǎng chōngmǎn le huólì.,His speech was full of vitality.,2024-11-06,0,0,0,
D001247,冰淇淋,bīng qí lín,bing1 qi2 lin2,Noun,Food,Common,Ice cream,我想吃一份巧克力冰淇淋。,Wǒ xiǎng chī yī fèn qiǎokèlì bīngqílín.,I want to eat a chocolate ice cream.,2024-11-06,0,0,0,
D001248,以前,yǐ qián,yi3 qian2,Noun/Adverb,Time,Common,Before; in the past; previously,他以前住在上海。,Tā yǐqián zhù zài Shànghǎi.,He used to live in Shanghai.,2024-11-06,1,1,0,2024-12-22
D001250,份,fèn,fen4,Noun,Measure Word,Common,"A measure word for gifts, newspapers, papers, reports, contracts, etc.",他每天读三份报纸。,Tā měitiān dú sān fèn bàozhǐ.,He reads three newspapers every day.,2024-11-06,0,0,0,
D001251,通过,tōngguò,tong1guo4,Verb,General,Common,To pass through or successfully achieve a result or goal.,他通过了所有的考试。,Tā tōngguò le suǒyǒu de kǎoshì.,He passed all the exams.,2024-11-06,2,2,0,2025-01-29
D001252,通过,tōngguò,tong1guo4,Preposition,Grammar,Common,By means of; via.,我们通过邮件联系。,Wǒmen tōngguò yóujiàn liánxì.,We contact via email.,2024-11-06,2,0,2,2025-01-12
D001255,同样,tóngyàng,tong2 yang4,Adjective,Description,Common,Same; alike; similarly,我们的观点同样重要。,Wǒmen de guāndiǎn tóngyàng zhòngyào.,Our opinions are equally important.,2024-11-06,1,0,1,2025-01-29
D001256,兴趣,xìngqù,xing4 qu4,Noun,Emotion,Common,Interest; a feeling of wanting to learn more about something,他的兴趣非常广泛。,Tā de xìngqù fēicháng guǎngfàn.,His interests are very broad.,2024-11-06,0,0,0,
D001257,行为,xíngwéi,xing2wei2,Noun,General,Common,Behavior; the way in which one acts or conducts oneself.,他的行为让人费解。,Tā de xíngwéi ràng rén fèijiě.,His behavior is puzzling.,2024-11-06,1,0,1,2025-01-29
D001259,苹果,píngguǒ,ping2guo3,Noun,Food,Common,Apple,我喜欢每天吃一个苹果。,Wǒ xǐhuān měitiān chī yí gè píngguǒ.,I like to eat an apple every day.,2024-11-06,0,0,0,
D001260,火腿,huǒ tuǐ,huo3 tui3,Noun,Food,Common,Ham,我早餐吃了火腿三明治。,Wǒ zǎocān chīle huǒtuǐ sānmíngzhì.,I had a ham sandwich for breakfast.,2024-11-06,2,2,0,2024-12-22
D001261,香肠,xiāng cháng,xiang1 chang2,Noun,Food,Common,Sausage,他喜欢在烧烤时吃香肠。,Tā xǐhuān zài shāokǎo shí chī xiāngcháng.,He likes to eat sausages during barbecues.,2024-11-06,1,0,1,2025-01-26
D001262,面条,miàn tiáo,mian4 tiao2,Noun,Food,Common,Noodles,我最喜欢吃的中餐是面条。,Wǒ zuì xǐhuān chī de zhōngcān shì miàntiáo.,My favorite Chinese dish is noodles.,2024-11-06,1,0,1,2024-12-22
D001263,面包,miàn bāo,mian4 bao1,Noun,Food,Common,Bread,她每天早上吃面包配咖啡。,Tā měitiān zǎoshang chī miànbāo pèi kāfēi.,She eats bread with coffee every morning.,2024-11-06,2,2,0,2025-06-21
D001264,饺子,jiǎo zi,jiao3 zi,Noun,Food,Common,Dumplings,春节时我们会包饺子。,Chūnjié shí wǒmen huì bāo jiǎozi.,We make dumplings during the Spring Festival.,2024-11-06,2,2,0,2025-01-29
D001265,盘子,pán zi,pan2 zi,Noun,Utensil,Common,Plate,请把盘子放在桌子上。,Qǐng bǎ pánzi fàng zài zhuōzi shàng.,Please put the plate on the table.,2024-11-06,0,0,0,
D001266,刀子,dāo zi,dao1 zi,Noun,Utensil,Common,Knife,我需要一把刀子来切菜。,Wǒ xūyào yī bǎ dāozi lái qiē cài.,I need a knife to cut the vegetables.,2024-11-06,0,0,0,
D001267,筷子,kuài zi,kuai4 zi,Noun,Utensil,Common,Chopsticks,他很擅长用筷子吃饭。,Tā hěn shàncháng yòng kuàizi chīfàn.,He is skilled at using chopsticks to eat.,2024-11-06,1,0,1,2024-12-15
D001268,杯子,bēi zi,bei1 zi,Noun,Utensil,Common,Cup,这个杯子装满了水。,Zhège bēizi zhuāngmǎnle shuǐ.,This cup is filled with water.,2024-11-06,2,2,0,2025-06-21
D001269,碗,wǎn,wan3,Noun,Utensil,Common,Bowl,请给我一个碗来盛汤。,Qǐng gěi wǒ yī gè wǎn lái chéng tāng.,Please give me a bowl to serve the soup.,2024-11-06,1,1,0,2025-01-12
D001270,叉子,chā zi,cha1 zi,Noun,Utensil,Common,Fork,用叉子吃意大利面。,Yòng chāzi chī yìdàlì miàn.,Use a fork to eat pasta.,2024-11-06,0,0,0,
D001271,勺子,sháo zi,shao2 zi,Noun,Utensil,Common,Spoon,他用勺子喝汤。,Tā yòng sháozi hē tāng.,He uses a spoon to drink soup.,2024-11-06,0,0,0,
D001272,瓶子,píng zi,ping2 zi,Noun,Utensil,Common,Bottle,这个瓶子里装的是果汁。,Zhège píngzi lǐ zhuāng de shì guǒzhī.,This bottle contains juice.,2024-11-06,1,0,1,2024-12-26
D001273,先生,xiān shēng,xian1 sheng1,Noun,General,Common,"Mister; a polite form of address for a man, often used for a teacher.",王先生是我的老师。,Wáng xiānshēng shì wǒ de lǎoshī.,Mr. Wang is my teacher.,2024-11-06,1,1,0,2025-01-12
D001274,手机,shǒu jī,shou3 ji1,Noun,Technology,Common,Mobile phone; a portable electronic device for communication.,我的手机没电了。,Wǒ de shǒujī méi diàn le.,My mobile phone is dead.,2024-11-06,0,0,0,
D001275,花,huā,hua1,Noun,Nature,Common,Flower,花园里开满了五颜六色的花。,Huāyuán lǐ kāi mǎn le wǔyánliùsè de huā.,The garden is full of colorful flowers.,2024-11-06,0,0,0,
D001276,花,huā,hua1,Verb,Action,Common,To spend (money or time),他花了很多钱买这部新手机。,Tā huā le hěn duō qián mǎi zhè bù xīn shǒujī.,He spent a lot of money to buy this new phone.,2024-11-06,0,0,0,
D001277,真的,zhēn de,zhen1 de,Adjective,Support,Common,"Real; genuine; true, emphasizing authenticity or truthfulness.",这幅画看起来真的很美。,Zhè fú huà kàn qǐlái zhēn de hěn měi.,This painting looks really beautiful.,2024-11-06,0,0,0,
D001279,读,dú,du2,Verb,Action,Common,To read,我每天晚上都会读书。,Wǒ měitiān wǎnshang dōu huì dúshū.,I read every night.,2024-11-06,0,0,0,
D001280,读,dú,du2,Verb,Education,Common,To attend school/study,他在国外读大学。,Tā zài guówài dú dàxué.,He is studying at a university abroad.,2024-11-06,0,0,0,
D001281,观点,guān diǎn,guan1 dian3,Noun,Opinion,Common,Viewpoint or opinion on a particular matter.,她的观点很有趣。,Tā de guāndiǎn hěn yǒuqù.,Her viewpoint is very interesting.,2024-11-06,1,0,1,2024-12-22
D001283,广泛,guǎng fàn,guang3 fan4,Adjective,Description,Common,Wide-ranging; covering a broad scope or extent.,他的兴趣非常广泛，包括音乐和运动。,"Tā de xìngqù fēicháng guǎngfàn, bāokuò yīnyuè hé yùndòng.","His interests are very wide-ranging, including music and sports.",2024-11-06,0,0,0,
D001284,费解,fèi jiě,fei4 jie3,Adjective,Work,Rare,Difficult to understand; perplexing,这本书的内容让人费解。,Zhè běn shū de nèiróng ràng rén fèijiě.,The content of this book is perplexing.,2024-11-06,1,0,1,2024-12-21
D001285,包括,bāo kuò,bao1 kuo4,Verb,General,Common,To include or encompass as part of a whole,课程包括数学、科学和文学。,"Kèchéng bāokuò shùxué, kēxué hé wénxué.","The curriculum includes mathematics, science, and literature.",2024-11-06,0,0,0,
D001286,三明治,sānmíngzhì,san1ming2zhi4,Noun,Food,Common,Sandwich,我午餐吃了一个三明治。,Wǒ wǔcān chīle yīgè sānmíngzhì.,I had a sandwich for lunch.,2024-11-06,0,0,0,
D001289,盛,shèng,sheng4,Verb,Utensil,Common,To fill or ladle food into a container,她用勺子盛饭。,Tā yòng sháozi shèng fàn.,She uses a spoon to scoop rice.,2024-11-06,0,0,0,
D001290,盛,chéng,cheng2,Verb,Utensil,Common,"To hold or contain something, often referring to the capacity of a container",这个碗可以盛一升水。,Zhège wǎn kěyǐ chéng yī shēng shuǐ.,This bowl can hold one liter of water.,2024-11-06,0,0,0,
D001291,汤,tāng,tang1,Noun,Food,Common,Soup,这碗汤很好喝。,Zhè wǎn tāng hěn hǎo hē.,This bowl of soup is very tasty.,2024-11-06,0,0,0,
D001292,钱,qián,qian2,Noun,Economics,Common,Money,我想存一些钱买新的手机。,Wǒ xiǎng cún yīxiē qián mǎi xīn de shǒujī.,I want to save some money to buy a new phone.,2024-11-06,3,3,0,2025-06-21
D001293,幅,fú,fu2,Noun,Measure Word,Rare,"A piece or width of something, often referring to fabric or art.",这幅画是我最喜欢的作品之一。,Zhè fú huà shì wǒ zuì xǐhuān de zuòpǐn zhī yī.,This painting is one of my favorite pieces.,2024-11-06,0,0,0,
D001294,以后,yǐ hòu,yi3 hou4,Noun,Time,Common,Future; the time after the present,以后我要努力学习。,Yǐhòu wǒ yào nǔlì xuéxí.,"In the future, I will study hard.",2024-11-06,0,0,0,
D001295,以后,yǐ hòu,yi3 hou4,Conjunction,Time,Common,After; used to indicate a sequence of events,请吃完饭以后再走。,Qǐng chī wán fàn yǐhòu zài zǒu.,Please leave after finishing your meal.,2024-11-06,2,2,0,2024-12-26
